work_year,exp_level,emp_type,salary
2024,MI,FT,45000
2024,MI,FT,30000
2024,SE,FT,218000
2024,SE,FT,145000
2024,SE,FT,100000
2024,SE,FT,86220
2024,MI,FT,190000
2024,MI,FT,150000
2024,MI,FT,110000
2024,MI,FT,95000
2024,SE,FT,110000
2024,SE,FT,90000
2024,MI,FT,140000
2024,MI,FT,110000
2024,MI,FT,80000
2024,MI,FT,50000
2024,SE,FT,180000
2024,SE,FT,130000
2024,SE,FT,200000
2024,SE,FT,147000
2024,SE,FT,148000
2024,SE,FT,125000
2024,SE,FT,150000
2024,SE,FT,110000
2024,SE,FT,245400
2024,SE,FT,135800
2024,EX,FT,200000
2024,EX,FT,175000
2024,SE,FT,249700
2024,SE,FT,156300
2024,SE,FT,190000
2024,SE,FT,140000
2024,SE,FT,370000
2024,SE,FT,220000
2024,EN,FT,35000
2024,EN,FT,27000
2024,SE,FT,280000
2024,SE,FT,184000
2024,MI,FT,174000
2024,MI,FT,132000
2024,SE,FT,720000
2024,SE,FT,170000
2024,SE,FT,200000
2024,SE,FT,160000
2024,SE,FT,150000
2024,SE,FT,111000
2024,SE,FT,280000
2024,SE,FT,184000
2024,SE,FT,302900
2024,SE,FT,302900
2024,MI,FT,179500
2024,MI,FT,149500
2024,SE,FT,238000
2024,SE,FT,149000
2024,SE,FT,190000
2024,SE,FT,148000
2024,SE,FT,162225
2024,SE,FT,139050
2024,SE,FT,190000
2024,SE,FT,105301
2024,SE,FT,180000
2024,SE,FT,139000
2024,SE,FT,50000
2024,SE,FT,44000
2024,SE,FT,252000
2024,SE,FT,168000
2024,MI,FT,85000
2024,MI,FT,74880
2024,SE,FT,260000
2024,SE,FT,160000
2024,SE,FT,190000
2024,SE,FT,150000
2024,MI,FT,234000
2024,MI,FT,176000
2024,MI,FT,125000
2024,MI,FT,100000
2024,SE,FT,155000
2024,SE,FT,100000
2024,SE,FT,170000
2024,SE,FT,130000
2024,MI,FT,184000
2024,MI,FT,123000
2024,SE,FT,140000
2024,SE,FT,130000
2024,MI,FT,159550
2024,MI,FT,113000
2024,SE,FT,222300
2024,SE,FT,119700
2024,SE,FT,120000
2024,SE,FT,75000
2024,SE,FT,166000
2024,SE,FT,110781
2024,MI,FT,121500
2024,MI,FT,88200
2024,EN,PT,63162
2024,EN,PT,37154
2024,SE,FT,195800
2024,SE,FT,161900
2024,SE,FT,142166
2024,SE,FT,88854
2024,EN,FT,137000
2024,EN,FT,60400
2024,SE,FT,178090
2024,SE,FT,92118
2024,EX,FT,257500
2024,EX,FT,190000
2024,MI,FT,176000
2024,MI,FT,106500
2024,MI,FT,125500
2024,MI,FT,78000
2024,SE,FT,200000
2024,SE,FT,96000
2024,EN,FT,192500
2024,EN,FT,140000
2024,SE,FT,220000
2024,SE,FT,96600
2024,SE,FT,195500
2024,SE,FT,117300
2024,SE,FT,156000
2024,SE,FT,124000
2024,SE,FT,178090
2024,SE,FT,81978
2024,SE,FT,142500
2024,SE,FT,90000
2024,SE,FT,171210
2024,SE,FT,92190
2024,SE,FT,59421
2024,SE,FT,48350
2024,MI,FT,125000
2024,MI,FT,90000
2024,MI,FT,176000
2024,MI,FT,72700
2024,MI,FT,132600
2024,MI,FT,80845
2024,EX,FT,250000
2024,EX,FT,150000
2024,MI,FT,79000
2024,MI,FT,72000
2024,SE,FT,230800
2024,SE,FT,96200
2024,EN,FT,187415
2024,EN,FT,114080
2024,EN,FT,187415
2024,EN,FT,114080
2024,SE,FT,277000
2024,SE,FT,173000
2024,MI,FT,175000
2024,MI,FT,117000
2024,SE,FT,193000
2024,SE,FT,84600
2024,SE,FT,220000
2024,SE,FT,96600
2024,SE,FT,170000
2024,SE,FT,130000
2024,MI,FT,172000
2024,MI,FT,75600
2024,SE,FT,201000
2024,SE,FT,125500
2024,SE,FT,187000
2024,SE,FT,117000
2024,EN,FT,61700
2024,EN,FT,55000
2024,MI,FT,45000
2024,MI,FT,35000
2024,SE,FT,292300
2024,SE,FT,149700
2024,SE,FT,165600
2024,SE,FT,65800
2024,MI,FT,148000
2024,MI,FT,118000
2024,SE,FT,50000
2024,SE,FT,50000
2024,MI,FT,252000
2024,MI,FT,168000
2024,SE,FT,149076
2024,SE,FT,82365
2024,SE,FT,160000
2024,SE,FT,120000
2024,SE,FT,160000
2024,SE,FT,115000
2024,MI,FT,193000
2024,MI,FT,128000
2024,SE,FT,220000
2024,SE,FT,170000
2024,SE,FT,189000
2024,SE,FT,136000
2024,MI,FT,185000
2024,MI,FT,79600
2024,MI,FT,210000
2024,MI,FT,160000
2024,EX,FT,200000
2024,EX,FT,160000
2024,SE,FT,150000
2024,SE,FT,90000
2024,MI,FT,208200
2024,MI,FT,124900
2024,SE,FT,150000
2024,SE,FT,130000
2024,SE,FT,189000
2024,SE,FT,160000
2024,SE,FT,255475
2024,SE,FT,185800
2024,SE,FT,220000
2024,SE,FT,170000
2024,SE,FT,220000
2024,SE,FT,170000
2024,SE,FT,113800
2024,SE,FT,74400
2024,SE,FT,260000
2024,MI,FT,180000
2024,MI,FT,140000
2024,SE,FT,108500
2024,SE,FT,78800
2024,SE,FT,252000
2024,SE,FT,181000
2024,SE,FT,301126
2024,SE,FT,210788
2024,EN,FT,20000
2024,SE,FT,147500
2024,SE,FT,85000
2024,SE,FT,175000
2024,SE,FT,117000
2024,EN,FT,102927
2024,EN,FT,95010
2024,EN,FT,157400
2024,EN,FT,98600
2024,EN,FT,83000
2024,EN,FT,64000
2024,SE,FT,200000
2024,SE,FT,90000
2024,SE,FT,250000
2024,SE,FT,190000
2024,SE,FT,258750
2024,SE,FT,191250
2024,EN,FT,177100
2024,EN,FT,130900
2024,EN,FT,99200
2024,EN,FT,69400
2024,MI,FT,79500
2024,MI,FT,57700
2024,SE,FT,179000
2024,SE,FT,112000
2024,SE,FT,206000
2024,SE,FT,97335
2024,MI,FT,223900
2024,MI,FT,140100
2024,SE,FT,75000
2024,SE,FT,65000
2024,SE,FT,144300
2024,SE,FT,104800
2024,MI,FT,168000
2024,MI,FT,78400
2024,SE,FT,207300
2024,SE,FT,114700
2024,SE,FT,265000
2024,SE,FT,220000
2024,SE,FT,120000
2024,SE,FT,100000
2024,SE,FT,306000
2024,SE,FT,151600
2024,EX,FT,300000
2024,EX,FT,220000
2024,SE,FT,167500
2024,SE,FT,138500
2024,MI,FT,194000
2024,MI,FT,125500
2024,SE,FT,95000
2024,SE,FT,60000
2024,SE,FT,194500
2024,SE,FT,147368
2024,MI,FT,165000
2024,MI,FT,117000
2024,SE,FT,170000
2024,SE,FT,148000
2024,SE,FT,160500
2024,SE,FT,107000
2024,SE,FT,500000
2024,SE,FT,80000
2024,MI,FT,241000
2024,MI,FT,189000
2024,SE,FT,167500
2024,SE,FT,138500
2024,SE,FT,200000
2024,SE,FT,148500
2024,SE,FT,273000
2024,SE,FT,166500
2024,SE,FT,106260
2024,SE,FT,82000
2024,MI,FT,115000
2024,MI,FT,100000
2024,MI,FT,105000
2024,MI,FT,90000
2024,SE,FT,170000
2024,SE,FT,140000
2024,MI,FT,170000
2024,MI,FT,145000
2024,SE,FT,233000
2024,SE,FT,140000
2024,SE,FT,202800
2024,SE,FT,108200
2024,EX,FT,190000
2024,EX,FT,150000
2024,SE,FT,214872
2024,SE,FT,186846
2024,EN,FT,35000
2024,EN,FT,30000
2024,SE,FT,145360
2024,SE,FT,107440
2024,SE,FT,212800
2024,SE,FT,115100
2024,SE,FT,174000
2024,SE,FT,116000
2024,MI,FT,181700
2024,MI,FT,64300
2024,EN,FT,26800
2024,EN,FT,26800
2024,MI,FT,185000
2024,MI,FT,81000
2024,SE,FT,96200
2024,SE,FT,69800
2024,EN,FT,77280
2024,EN,FT,58000
2024,EN,FT,26800
2024,EN,FT,26800
2024,SE,FT,178200
2024,SE,FT,74800
2024,EN,FT,164500
2024,EN,FT,67200
2024,SE,FT,165000
2024,SE,FT,117000
2024,EN,FT,185000
2024,EN,FT,81000
2024,MI,FT,287800
2024,MI,FT,287800
2024,SE,FT,150000
2024,SE,FT,110000
2024,MI,FT,250000
2024,MI,FT,200000
2024,SE,FT,200000
2024,SE,FT,160000
2024,MI,FT,172000
2024,MI,FT,75600
2024,EN,PT,291340
2024,EN,PT,194240
2024,MI,FT,191070
2024,MI,FT,135900
2024,MI,FT,38000
2024,MI,FT,35000
2024,SE,FT,282000
2024,SE,FT,171000
2024,SE,FT,260000
2024,SE,FT,136000
2024,MI,FT,152800
2024,MI,FT,149282
2024,SE,FT,264500
2024,SE,FT,165600
2024,MI,FT,228000
2024,MI,FT,134000
2024,SE,FT,78000
2024,SE,FT,54000
2024,SE,FT,199500
2024,SE,FT,97400
2024,SE,FT,155000
2024,SE,FT,139500
2024,MI,FT,140000
2024,MI,FT,100000
2024,SE,FT,205000
2024,SE,FT,155000
2024,EN,FT,110000
2024,EN,FT,90000
2024,EN,FT,83300
2024,EN,FT,47500
2024,SE,FT,208500
2024,SE,FT,174000
2024,SE,FT,170000
2024,SE,FT,130000
2024,MI,FT,240000
2024,MI,FT,180000
2024,MI,FT,90000
2024,MI,FT,70000
2024,SE,FT,138000
2024,SE,FT,110400
2024,SE,FT,239000
2024,SE,FT,159000
2024,SE,FT,145000
2024,SE,FT,115000
2024,SE,FT,185000
2024,SE,FT,160000
2024,MI,FT,210000
2024,MI,FT,160000
2024,EN,FT,128750
2024,EN,FT,61875
2024,SE,FT,240000
2024,SE,FT,178000
2024,EN,FT,91200
2024,EN,FT,58200
2024,SE,FT,122000
2024,SE,FT,94500
2024,MI,FT,152300
2024,MI,FT,76200
2024,SE,FT,336000
2024,SE,FT,304000
2024,MI,FT,70000
2024,MI,FT,51000
2024,SE,FT,223000
2024,SE,FT,185000
2024,MI,FT,155000
2024,MI,FT,120000
2024,SE,FT,245900
2024,SE,FT,139000
2024,MI,FT,95000
2024,SE,FT,213000
2024,SE,FT,120700
2024,MI,FT,128000
2024,MI,FT,81500
2024,EN,FT,46000
2024,EN,FT,40000
2024,SE,FT,60000
2024,SE,FT,55000
2024,EN,FT,176627
2024,EN,FT,106029
2024,SE,FT,193000
2024,SE,FT,84600
2024,EN,FT,94250
2024,EN,FT,65000
2024,MI,FT,148017
2024,MI,FT,87069
2024,MI,FT,135800
2024,MI,FT,95100
2024,SE,FT,175000
2024,SE,FT,117000
2024,SE,FT,234000
2024,SE,FT,146000
2024,MI,FT,120000
2024,MI,FT,105000
2024,EN,FT,43500
2024,EN,FT,41000
2024,SE,FT,234000
2024,SE,FT,117000
2024,SE,FT,211888
2024,SE,FT,154100
2024,SE,FT,185100
2024,SE,FT,148500
2024,SE,FT,147000
2024,SE,FT,92000
2024,SE,FT,148500
2024,SE,FT,117000
2024,SE,FT,130000
2024,SE,FT,100000
2024,MI,FT,203000
2024,MI,FT,135000
2024,SE,FT,50000
2024,SE,FT,322100
2024,SE,FT,173400
2024,SE,FT,158900
2024,SE,FT,132400
2024,SE,FT,370000
2024,SE,FT,220000
2024,SE,FT,180000
2024,SE,FT,140000
2024,SE,FT,247300
2024,SE,FT,139800
2024,SE,FT,213000
2024,SE,FT,120700
2024,SE,FT,172000
2024,SE,FT,141000
2024,MI,FT,140000
2024,MI,FT,100000
2024,EN,FT,100000
2024,EN,FT,90000
2024,SE,FT,135000
2024,SE,FT,115000
2024,SE,FT,130000
2024,SE,FT,100000
2024,SE,FT,240901
2024,SE,FT,168630
2024,MI,FT,100000
2024,MI,FT,90000
2024,EX,FT,312300
2024,EX,FT,269000
2024,EX,FT,273600
2024,EX,FT,182400
2024,SE,FT,184000
2024,SE,FT,123000
2024,SE,FT,250000
2024,SE,FT,150000
2024,SE,FT,140000
2024,SE,FT,100000
2024,SE,FT,202500
2024,SE,FT,135000
2024,MI,FT,159550
2024,MI,FT,113000
2024,MI,FT,75000
2024,MI,FT,55000
2024,EX,FT,253900
2024,EX,FT,145100
2024,MI,FT,138000
2024,MI,FT,86000
2024,SE,FT,179000
2024,SE,FT,112000
2024,EN,FT,105000
2024,EN,FT,80800
2024,EN,FT,64500
2024,EN,FT,46500
2024,SE,FT,120750
2024,SE,FT,85000
2024,SE,FT,180000
2024,SE,FT,144000
2024,SE,FT,144606
2024,SE,FT,128539
2024,MI,FT,79400
2024,MI,FT,55600
2024,MI,FT,131700
2024,MI,FT,84000
2024,SE,FT,206000
2024,SE,FT,106605
2024,MI,FT,179000
2024,MI,FT,112000
2024,SE,FT,120750
2024,SE,FT,85000
2024,SE,FT,175000
2024,SE,FT,118000
2024,SE,FT,194000
2024,SE,FT,122000
2024,SE,FT,142250
2024,SE,FT,100000
2024,MI,FT,99000
2024,MI,FT,87000
2024,EN,FT,118400
2024,EN,FT,64000
2024,MI,FT,176000
2024,MI,FT,72700
2024,SE,FL,3000000
2024,MI,FT,145000
2024,MI,FT,120000
2024,EN,FT,126225
2024,EN,FT,61846
2024,SE,FT,114200
2024,SE,FT,92900
2024,SE,FT,219700
2024,SE,FT,137300
2024,SE,FT,108500
2024,SE,FT,78800
2024,MI,FT,44263
2024,MI,FT,33966
2024,SE,FT,95000
2024,SE,FT,85000
2024,MI,FT,50000
2024,MI,FT,40000
2024,SE,FT,155000
2024,SE,FT,140000
2024,MI,FT,128000
2024,MI,FT,81500
2024,MI,FT,95000
2024,MI,FT,68000
2024,EN,FT,194500
2024,EN,FT,125500
2024,MI,FT,187000
2024,MI,FT,153000
2024,SE,FT,146000
2024,SE,FT,128000
2024,MI,FT,130500
2024,MI,FT,96000
2024,SE,FT,140000
2024,SE,FT,105000
2024,SE,FT,153000
2024,SE,FT,122000
2024,SE,FT,190000
2024,SE,FT,126000
2024,MI,FT,108100
2024,MI,FT,60800
2024,MI,FT,170000
2024,MI,FT,100000
2024,SE,FT,208000
2024,SE,FT,175000
2024,SE,FT,485000
2024,SE,FT,280000
2024,SE,FT,240000
2024,SE,FT,160000
2024,SE,FT,239000
2024,SE,FT,177000
2024,SE,FT,135000
2024,SE,FT,110000
2024,MI,FT,177300
